A0,0,0,-300.4
A1,-6.1078,8.407,-300.2202
A2,-12.2084,16.804,-299.6811
A3,0,16.818,-299.9289
A4,-18.2943,25.18,-298.7833
A5,-6.1079,25.236,-299.2759
A6,6.1079,25.236,-299.2759
A7,-24.3583,33.527,-297.5279
A8,-12.1892,33.61,-298.265
A9,0,33.638,-298.5108
A10,12.1892,33.61,-298.265
A11,-30.3932,41.833,-295.9163
A12,-18.2947,42.054,-296.8788
A13,-6.1082,42.109,-297.3714
A14,6.1082,42.109,-297.3714
A15,18.2947,42.054,-296.8788
A16,-36.3917,50.089,-293.9506
A17,-24.3201,50.35,-295.1501
A18,-12.2089,50.529,-295.8681
A19,0,50.571,-296.1128
A20,12.2089,50.529,-295.8681
A21,24.3201,50.35,-295.1501
A22,-42.3466,58.286,-291.633
A23,-30.3164,58.614,-293.0623
A24,-18.2175,58.833,-294.0187
A25,-6.1082,58.943,-294.4972
A26,6.1082,58.943,-294.4972
A27,18.2175,58.833,-294.0187
A28,30.3164,58.614,-293.0623
A29,-48.2509,66.412,-288.9663
A30,-36.257,66.794,-290.6273
A31,-24.2041,67.067,-291.8157
A32,-12.1119,67.231,-292.5295
A33,0,67.286,-292.7676
A34,12.1119,67.231,-292.5295
A35,24.2041,67.067,-291.8157
A36,36.257,66.794,-290.6273
A37,-54.0974,74.459,-285.9538
A38,-42.3557,75.319,-287.7034
A39,-30.3251,75.648,-289.1332
A40,-18.2235,75.868,-290.0899
A41,-6.1137,75.978,-290.5687
A42,6.1137,75.978,-290.5687
A43,18.2235,75.868,-290.0899
A44,30.3251,75.648,-289.1332
A45,42.3557,75.319,-287.7034
A46,-59.8791,82.417,-282.599
A47,-48.1805,83.339,-284.5585
A48,-36.4062,84.13,-286.0717
A49,-24.3327,84.42,-287.2656
A50,-12.2194,84.572,-287.9906
A51,0,84.642,-288.2291
A52,12.2194,84.572,-287.9906
A53,24.3327,84.42,-287.2656
A54,36.4063,84.13,-286.0717
A55,48.1805,83.339,-284.5585
A56,-65.5892,90.276,-278.9059
A57,-53.9481,91.284,-281.064
A58,-42.2024,92.137,-282.7895
A59,-30.4101,92.832,-284.0733
A60,-18.3091,93.055,-285.0366
A61,-6.1137,93.223,-285.5038
A62,6.1137,93.223,-285.5038
A63,18.3091,93.055,-285.0366
A64,30.4101,92.832,-284.0733
A65,42.2024,92.137,-282.7895
A66,53.9481,91.284,-281.064
A67,-71.2207,98.027,-274.8791
A68,-59.6308,99.108,-277.2399
A69,-47.9477,100.034,-279.1673
A70,-36.1897,100.804,-280.6583
A71,-24.375,101.416,-281.7107
A72,-12.1976,101.668,-282.4095
A73,0,101.752,-282.6426
A74,12.1976,101.668,-282.4095
A75,24.375,101.416,-281.7107
A76,36.1897,100.804,-280.6583
A77,47.9477,100.034,-279.1673
A78,59.6308,99.108,-277.2399
A79,-76.7671,105.661,-270.5232
A80,-65.2835,106.913,-273.0346
A81,-53.6373,107.913,-275.1691
A82,-41.8868,108.758,-276.871
A83,-30.0914,109.444,-278.1308
A84,-18.3087,109.87,-278.9869
A85,-6.1133,110.038,-279.454
A86,6.1133,110.038,-279.454
A87,18.3087,109.87,-278.9869
A88,30.0914,109.444,-278.1308
A89,41.8868,108.758,-276.871
A90,53.6373,107.913,-275.1691
A91,65.2835,106.913,-273.0346
A94,-59.2612,115.66,-270.8342
A95,-47.5535,116.591,-272.7372
A96,-35.7711,117.339,-274.2122
A97,-24.0135,117.852,-275.2718
A98,-12.2188,118.183,-275.9055
A99,0,118.281,-276.134
A100,12.2188,118.183,-275.9055
A101,24.0135,117.852,-275.2718
A102,35.7711,117.339,-274.2122
A103,47.5535,116.591,-272.7372
A104,59.2612,115.66,-270.8342
A111,-29.6892,125.715,-271.2095
A112,-17.9049,126.133,-272.048
A113,-6.1133,126.344,-272.4704
A114,6.1133,126.344,-272.4704
A115,17.9049,126.133,-272.048
A116,29.6892,125.715,-271.2095
B1,6.1078,8.407,-300.2202
B2,12.2084,16.804,-299.6811
B3,15.9942,5.197,-299.9289
B4,18.2943,25.18,-298.7833
B5,22.1129,13.607,-299.2759
B6,25.8877,1.99,-299.2759
B7,24.3583,33.527,-297.5279
B8,28.1978,21.979,-298.265
B9,31.9908,10.395,-298.5108
B10,35.7311,-1.206,-298.265
B11,30.3932,41.833,-295.9163
B12,34.3416,30.395,-296.8788
B13,38.1602,18.822,-297.3714
B14,41.9353,7.203,-297.3714
B15,45.6484,-4.404,-296.8788
B16,36.3917,50.089,-293.9506
B17,40.3703,38.689,-295.1501
B18,44.283,27.226,-295.8681
B19,48.0955,15.628,-296.1128
B20,51.8285,4.003,-295.8681
B21,55.4009,-7.57,-295.1501
B22,42.3466,58.286,-291.633
B23,46.3765,46.946,-293.0623
B24,50.324,35.507,-294.0187
B25,54.1705,24.024,-294.4972
B26,57.9456,12.406,-294.4972
B27,61.583,0.855,-294.0187
B28,65.1131,-10.72,-293.0623
B29,48.2509,66.412,-288.9663
B30,52.3202,55.123,-290.6273
B31,56.3045,43.745,-291.8157
B32,60.1972,32.295,-292.5295
B33,63.9921,20.793,-292.7676
B34,67.6828,9.257,-292.5295
B35,71.2635,-2.294,-291.8157
B36,74.7283,-13.842,-290.6273
B37,54.0974,74.459,-285.9538
B38,58.5437,63.558,-287.7034
B39,62.5741,52.218,-289.1332
B40,66.5231,40.776,-290.0899
B41,70.3699,29.293,-290.5687
B42,74.1484,17.664,-290.5687
B43,77.7858,6.113,-290.0899
B44,81.316,-5.464,-289.1332
B45,84.721,-17.008,-287.7034
B46,59.8791,82.417,-282.599
B47,64.3708,71.576,-284.5585
B48,68.7616,60.622,-286.0717
B49,72.7681,49.229,-287.2656
B50,76.6559,37.756,-287.9906
B51,80.4986,26.156,-288.2291
